full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
 City i VTEC VX,651000.0,2016,1497,Third Party,Manual,87545,First Owner,Petrol,117.3,5.0,17.8,Sedan,Delhi,2,1,1,2,1
wagen Vento 1.5 Highline Plus AT 16 Alloy,877999.9999999999,2018,1498,Third Party,Automatic,76182,Second Owner,Diesel,108.5,5.0,21.5,Sedan,Delhi,2,2,2,2,2
i Swift VXI,552000.0,2018,1197,Comprehensive,Manual,98260,First Owner,Petrol,81.8,5.0,21.21,Hatchback,Delhi,5,1,1,1,1
5 xDrive 30d Design Pure Experience 5 Seater,4250000.0,2017,2993,Comprehensive,Automatic,65000,First Owner,Diesel,258.0,5.0,15.97,SUV,Delhi,5,2,2,3,1
ai i10 Magna 1.1L,292000.0,2015,1086,Third Party,Manual,70694,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Delhi,2,1,1,1,2
ai Grand i10 1.2 Kappa Magna BSIV,455000.0,2017,1197,Third Party,Manual,45617,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
ai i20 Magna 1.2,450000.0,2015,1197,Third Party,Manual,45924,Second Owner,Petrol,81.83,5.0,18.6,Hatchback,Delhi,2,1,1,1,2
ai Grand i10 Sportz,336000.0,2013,1197,Third Party,Manual,66810,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
ai Grand i10 1.2 Kappa Magna BSIV,447000.0,2017,1197,Third Party,Manual,40655,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
Punch Adventure AMT Rhythm BSVI,850000.0,2022,1199,Third Party,Automatic,40000,First Owner,Petrol,86.63,5.0,18.8,SUV,Delhi,2,2,1,3,1
ai Xcent 1.2 VTVT S,450000.0,2018,1197,Third Party,Manual,50000,First Owner,Petrol,81.86,5.0,20.14,Sedan,Delhi,2,1,1,2,1
 Octavia Ambition Plus 1.4 TSI MT,675000.0,2014,1395,Comprehensive,Manual,76000,Second Owner,Petrol,138.02,5.0,14.7,Sedan,Delhi,5,1,1,2,2
a Fortuner 2.8 2WD MT BSIV,2650000.0,2017,2755,Third Party,Manual,40000,First Owner,Diesel,174.5,7.0,14.24,SUV,Delhi,2,1,2,3,1
ai i10 Sportz 1.2 AT,256999.99999999997,2010,1197,Comprehensive,Automatic,32663,First Owner,Petrol,78.9,5.0,16.95,Hatchback,Delhi,5,2,1,1,1
i Swift AMT ZXI,591000.0,2018,1197,Third Party,Automatic,60687,First Owner,Petrol,81.8,5.0,21.21,Hatchback,Delhi,2,2,1,1,1
i Ciaz 1.3 Delta,575000.0,2018,1248,Third Party,Manual,73763,Second Owner,Diesel,88.5,5.0,28.09,Sedan,Delhi,2,1,2,2,2
 City i VTEC V,654000.0,2016,1497,Third Party,Manual,87116,First Owner,Petrol,117.3,5.0,17.8,Sedan,Delhi,2,1,1,2,1
i Vitara Brezza VDi,701000.0,2018,1248,Third Party,Manual,65000,First Owner,Diesel,88.5,5.0,24.3,SUV,Delhi,2,1,2,3,1
i Alto K10 VXI AMT,301000.0,2015,998,Third Party,Automatic,35811,Second Owner,Petrol,67.05,5.0,23.95,Hatchback,Delhi,2,2,1,1,2
 City S,430000.0,2013,1497,Comprehensive,Manual,48629,First Owner,Petrol,116.4,5.0,16.8,Sedan,Delhi,5,1,1,2,1
 Amaze S Petrol BSIV,605000.0,2019,1199,Third Party,Manual,22250,First Owner,Petrol,88.76,5.0,19.5,Sedan,Delhi,2,1,1,2,1
i Swift VXI,375000.0,2015,1197,Third Party,Manual,60000,First Owner,Petrol,81.8,5.0,21.21,Hatchback,Delhi,2,1,1,1,1
i Wagon R AMT VXI,300000.0,2016,998,Third Party,Automatic,90000,Second Owner,Petrol,67.0,5.0,20.51,Hatchback,Delhi,2,2,1,1,2
ai Verna Anniversary Edition Petrol,900000.0,2019,1591,Third Party,Manual,30000,First Owner,Petrol,121.3,5.0,17.7,Sedan,Delhi,2,1,1,2,1
Altroz XT BSVI,650000.0,2020,1199,Third Party,Manual,40000,First Owner,Petrol,86.83,5.0,19.33,Hatchback,Gurgaon,2,1,1,1,1
Zest Quadrajet 1.3 75PS XMS,380000.0,2017,1248,Third Party,Manual,70000,First Owner,Diesel,74.0,5.0,22.95,Sedan,Delhi,2,1,2,2,1
i Swift LXI Option,470000.0,2017,1197,Third Party,Manual,13435,First Owner,Petrol,81.8,5.0,20.4,Hatchback,Delhi,2,1,1,1,1
ai Grand i10 1.2 Kappa Sportz Option,416000.0,2017,1197,Third Party,Manual,76584,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
i Ciaz VXi Plus,526000.0,2016,1373,Third Party,Manual,96471,Second Owner,Petrol,91.1,5.0,20.73,Sedan,Delhi,2,1,1,2,2
i Baleno 1.2 Delta,509999.99999999994,2017,1197,Third Party,Manual,42501,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Delhi,2,1,1,1,1
i Swift VXI,300000.0,2013,1197,Third Party,Manual,51688,First Owner,Petrol,85.8,5.0,18.6,Hatchback,Delhi,2,1,1,1,1
i Wagon R VXI BSIII,179000.0,2010,998,Third Party,Manual,28106,First Owner,Petrol,67.1,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
 Jazz 1.2 E i VTEC,316000.0,2015,1199,Comprehensive,Manual,59472,First Owner,Petrol,88.7,5.0,18.7,Hatchback,Delhi,5,1,1,1,1
olet Beat LT Option,130000.0,2011,1199,Third Party,Manual,110000,Second Owner,Petrol,79.4,5.0,18.6,Hatchback,Delhi,2,1,1,1,2
i Alto 800 LXI,310000.0,2017,796,Third Party,Manual,30000,Second Owner,Petrol,47.3,5.0,24.7,Hatchback,Delhi,2,1,1,1,2
i Swift Dzire LXI,395000.0,2018,1197,Third Party,Manual,150000,First Owner,Petrol,85.8,5.0,19.0,Sedan,Delhi,2,1,1,2,1
lt Triber RXZ EASY-R AMT BSVI,900000.0,2022,999,Third Party,Automatic,10000,First Owner,Petrol,71.01,7.0,18.2,MUV,Delhi,2,2,1,4,1
 City VTEC,110000.00000000001,2008,1497,Third Party,Manual,150000,First Owner,Petrol,100.0,5.0,16.9,Sedan,Delhi,2,1,1,2,1
i Wagon R LXI Minor,70000.0,2009,1061,Third Party,Manual,90000,Second Owner,Petrol,67.0,5.0,18.9,Hatchback,Delhi,2,1,1,1,2
i Swift VDI BSIV,450000.0,2014,1248,Third Party,Manual,80000,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Delhi,2,1,2,1,1
ai Creta 1.4 CRDi S,850000.0,2017,1396,Third Party,Manual,100000,First Owner,Diesel,88.7,5.0,21.38,SUV,Delhi,2,1,2,3,1
ai Grand i10 1.2 Kappa Magna BSIV,458000.0,2017,1197,Third Party,Manual,31490,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
 CR-V 2.0L 2WD AT,927999.9999999999,2015,1997,Third Party,Automatic,107255,First Owner,Petrol,153.86,5.0,13.7,SUV,Delhi,2,2,1,3,1
