full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
des-Benz E-Class Elegance 220 CDI,1150000.0,2013,2143,Comprehensive,Automatic,65000,First Owner,Diesel,170.0,5.0,10.0,Sedan,Ahmedabad,5,2,2,2,1
 WR-V i-VTEC S,640000.0,2017,1199,Third Party,Manual,43000,First Owner,Petrol,88.7,5.0,17.5,SUV,Ahmedabad,2,1,1,3,1
wagen Vento 1.2 TSI Highline AT,770000.0,2017,1197,Third Party,Automatic,35000,First Owner,Petrol,103.2,5.0,18.19,Sedan,Ahmedabad,2,2,1,2,1
 City i DTec E,631000.0,2016,1498,Third Party,Manual,50000,First Owner,Diesel,98.6,5.0,26.0,Sedan,Ahmedabad,2,1,2,2,1
ai EON Era Plus,190000.0,2013,814,Comprehensive,Manual,66846,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Ahmedabad,5,1,1,1,1
a Corolla Altis G,390000.0,2011,1798,Third Party,Manual,92000,Second Owner,Petrol,138.1,5.0,14.53,Sedan,Ahmedabad,2,1,1,2,2
Harrier XZ BSIV,1375000.0,2019,1956,Third Party,Manual,85151,First Owner,Diesel,138.1,5.0,17.0,SUV,Ahmedabad,2,1,2,3,1
 BR-V i-DTEC S MT,775000.0,2017,1498,Comprehensive,Manual,88923,First Owner,Diesel,98.6,7.0,21.9,SUV,Ahmedabad,5,1,2,3,1
arens Prestige Plus Turbo 2022-2023,1400000.0,2022,1353,Comprehensive,Manual,15841,First Owner,Petrol,138.05,7.0,16.2,MUV,Ahmedabad,5,1,1,4,1
ai Grand i10 1.2 Kappa Sportz Option AT,575000.0,2017,1197,Comprehensive,Automatic,33000,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Ahmedabad,5,2,1,1,1
ai Tucson 2.0 e-VGT 2WD AT GLS,1475000.0,2017,1995,Comprehensive,Automatic,74942,First Owner,Diesel,183.0,5.0,16.38,SUV,Ahmedabad,5,2,2,3,1
r XF 2.2 Litre Luxury,1750000.0,2015,2179,Third Party,Automatic,73000,First Owner,Diesel,187.7,5.0,16.36,Sedan,Ahmedabad,2,2,2,2,1
 Series 320d Luxury Line,1000000.0,2013,1995,Third Party,Automatic,76000,Third Owner,Diesel,184.0,5.0,18.88,Sedan,Ahmedabad,2,2,2,2,3
 Amaze SX i-VTEC,330000.0,2014,1198,Third Party,Manual,64000,Second Owner,Petrol,86.7,5.0,18.0,Sedan,Ahmedabad,2,1,1,2,2
olet Spark 1.0 LS,105000.0,2010,995,Comprehensive,Manual,46000,Second Owner,Petrol,62.0,5.0,18.0,Hatchback,Ahmedabad,5,1,1,1,2
ai i10 Era 1.1 iTech SE,290000.0,2012,1086,Third Party,Manual,71000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Ahmedabad,2,1,1,1,1
 Brio EX MT,350000.0,2014,1198,Comprehensive,Manual,77000,First Owner,Petrol,86.8,5.0,19.4,Hatchback,Ahmedabad,5,1,1,1,1
ai i10 Era,340000.0,2013,1086,Third Party,Manual,66000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Ahmedabad,2,1,1,1,1
i Alto K10 MusiK edition,254999.99999999997,2013,998,Third Party,Manual,58000,First Owner,Petrol,67.1,5.0,20.92,Hatchback,Ahmedabad,2,1,1,1,1
 WR-V i-DTEC VX,850000.0,2018,1498,Comprehensive,Manual,69000,First Owner,Diesel,98.6,5.0,25.5,SUV,Ahmedabad,5,1,2,3,1
 CR-V 2.0L 2WD AT,950000.0,2015,1997,Comprehensive,Automatic,66000,First Owner,Petrol,153.86,5.0,13.7,SUV,Ahmedabad,5,2,1,3,1
i Eeco 5 Seater AC CNG BSVI,650000.0,2022,1197,Third Party,Manual,31000,First Owner,CNG,70.67,5.0,35.70666666666667,unknown_type,Ahmedabad,2,1,3,6,1
i Wagon R Pro,475000.0,2017,998,Comprehensive,Manual,28000,First Owner,Petrol,67.0,5.0,18.9,Hatchback,Ahmedabad,5,1,1,1,1
ai i20 Asta 1.4 CRDi,650000.0,2016,1396,Third Party,Manual,79000,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Ahmedabad,2,1,2,1,1
i SX4 S Cross Alpha DDiS 200 SH,825000.0,2018,1248,Comprehensive,Manual,79000,First Owner,Diesel,88.5,5.0,25.1,SUV,Ahmedabad,5,1,2,3,1
i Celerio VXI BSVI,550000.0,2022,998,Comprehensive,Manual,20000,First Owner,Petrol,65.71,5.0,25.24,Hatchback,Ahmedabad,5,1,1,1,1
ai Venue SX Turbo,1010000.0,2021,998,Comprehensive,Manual,52000,First Owner,Petrol,118.35,5.0,18.27,SUV,Ahmedabad,5,1,1,3,1
ai Creta 1.6 SX Automatic Diesel,921000.0000000001,2016,1582,Comprehensive,Automatic,65000,First Owner,Diesel,126.2,5.0,17.6,SUV,Ahmedabad,5,2,2,3,1
 CR-V 2.4 AT,666000.0,2013,2354,Comprehensive,Automatic,96000,Second Owner,Petrol,149.87199999999999,5.0,10.1,SUV,Ahmedabad,5,2,1,3,2
a Etios VX,325000.0,2011,1496,Comprehensive,Manual,70000,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Ahmedabad,5,1,1,2,2
olet Enjoy Petrol LT 8 Seater,390000.0,2014,1399,Comprehensive,Manual,45000,First Owner,Petrol,98.82,8.0,13.7,MUV,Ahmedabad,5,1,1,4,1
 City i-DTEC V,925000.0,2019,1498,Comprehensive,Manual,50000,First Owner,Diesel,97.9,5.0,25.6,Sedan,Ahmedabad,5,1,2,2,1
i A-Star AT VXI,290000.0,2013,998,Comprehensive,Automatic,63000,First Owner,Petrol,66.1,5.0,16.98,Hatchback,Ahmedabad,5,2,1,1,1
dra XUV500 R W10 FWD,975000.0,2017,2179,Comprehensive,Manual,83000,Second Owner,Diesel,140.0,7.0,16.0,SUV,Ahmedabad,5,1,2,3,2
onet HTX Diesel iMT BSVI,1130000.0,2021,1493,Comprehensive,Manual,58000,First Owner,Diesel,98.63,5.0,18.4,SUV,Ahmedabad,5,1,2,3,1
 City i VTEC VX,775000.0,2016,1497,Comprehensive,Manual,64000,First Owner,Petrol,117.3,5.0,17.8,Sedan,Ahmedabad,5,1,1,2,1
ai i20 Asta 1.2,590000.0,2015,1197,Comprehensive,Manual,62000,First Owner,Petrol,82.85,5.0,18.5,Hatchback,Ahmedabad,5,1,1,1,1
i Vitara Brezza ZDi Plus,950000.0,2018,1248,Comprehensive,Manual,63000,First Owner,Diesel,88.5,5.0,24.3,SUV,Ahmedabad,5,1,2,3,1
 Amaze VX i DTEC,750000.0,2018,1498,Comprehensive,Manual,77000,First Owner,Diesel,98.6,5.0,25.8,Sedan,Ahmedabad,5,1,2,2,1
Ecosport 1.5 DV5 MT Titanium,395000.0,2014,1498,Third Party,Manual,62000,Second Owner,Diesel,89.84,5.0,22.7,SUV,Ahmedabad,2,1,2,3,2
des-Benz CLA Urban Sport 200d,2550000.0,2018,2143,Comprehensive,Automatic,48000,First Owner,Diesel,134.1,5.0,17.9,Sedan,Ahmedabad,5,2,2,2,1
wagen Polo Diesel Comfortline 1.2L,275000.0,2012,1199,Comprehensive,Manual,54000,Second Owner,Diesel,73.9,5.0,22.07,Hatchback,Ahmedabad,5,1,2,1,2
dra XUV500 W8 FWD,550000.0,2012,2179,Comprehensive,Manual,61000,First Owner,Diesel,140.0,7.0,15.1,SUV,Ahmedabad,5,1,2,3,1
ai Creta 1.6 VTVT AT SX Plus,1225000.0,2019,1591,Comprehensive,Automatic,34000,Second Owner,Petrol,121.3,5.0,13.0,SUV,Ahmedabad,5,2,1,3,2
des-Benz M-Class ML 250 CDI,2750000.0,2014,2143,Comprehensive,Automatic,65000,First Owner,Diesel,203.2,5.0,15.26,SUV,Ahmedabad,5,2,2,3,1
des-Benz S-Class S 350 d,3900000.0,2014,2925,Comprehensive,Automatic,65000,First Owner,Diesel,281.61,5.0,13.5,Sedan,Ahmedabad,5,2,2,2,1
wagen Polo 1.0 MPI Comfortline,575000.0,2019,999,Comprehensive,Manual,42000,Second Owner,Petrol,75.1,5.0,17.74,Hatchback,Ahmedabad,5,1,1,1,2
oster Savvy 6-Str,3450000.0,2021,1996,Comprehensive,Automatic,45894,First Owner,Diesel,215.01,6.0,12.4,SUV,Ahmedabad,5,2,2,3,1
ai Tucson 2.0 e-VGT 2WD AT GL Opt,1989999.9999999998,2019,1995,Comprehensive,Automatic,53221,First Owner,Diesel,182.46,5.0,16.38,SUV,Ahmedabad,5,2,2,3,1
Compass 1.4 Limited,1250000.0,2018,1368,Comprehensive,Automatic,47000,First Owner,Petrol,160.0,5.0,16.0,SUV,Ahmedabad,5,2,1,3,1
dra XUV300 W8 Option Dual Tone BSVI,931000.0,2020,1197,Comprehensive,Manual,33000,First Owner,Petrol,108.62,5.0,16.82,SUV,Ahmedabad,5,1,1,3,1
A3 35 TDI Attraction,1725000.0,2016,1968,Third Party,Automatic,71000,First Owner,Diesel,143.0,5.0,20.38,Sedan,Ahmedabad,2,2,2,2,1
i XL6 Alpha BSVI,1270000.0,2022,1462,Comprehensive,Manual,23000,First Owner,Petrol,101.65,6.0,20.97,MUV,Ahmedabad,5,1,1,4,1
ai Creta 1.6 CRDi SX,960000.0,2017,1582,Third Party,Manual,61000,First Owner,Diesel,126.2,5.0,19.67,SUV,Ahmedabad,2,1,2,3,1
ai i20 Sportz 1.4 CRDi,575000.0,2015,1396,Comprehensive,Manual,67000,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Ahmedabad,5,1,2,1,1
i Ciaz Alpha Diesel,651000.0,2017,1248,Comprehensive,Manual,66000,First Owner,Diesel,88.5,5.0,28.09,Sedan,Ahmedabad,5,1,2,2,1
ai Grand i10 Sportz,525000.0,2018,1197,Comprehensive,Manual,48000,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Ahmedabad,5,1,1,1,1
n Micra XV CVT,450000.0,2015,1198,Comprehensive,Automatic,35602,First Owner,Petrol,76.0,5.0,19.34,Hatchback,Ahmedabad,5,2,1,1,1
ai Creta 1.6 CRDi AT SX Plus,1075000.0,2017,1582,Comprehensive,Automatic,82000,First Owner,Diesel,126.2,5.0,17.01,SUV,Ahmedabad,5,2,2,3,1
ai i10 Era 1.1,241000.0,2010,1086,Comprehensive,Manual,56000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Ahmedabad,5,1,1,1,1
i Wagon R LXI,425000.0,2017,998,Comprehensive,Manual,80000,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Ahmedabad,5,1,1,1,1
ai EON Era Plus,320000.0,2017,814,Comprehensive,Manual,61000,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Ahmedabad,5,1,1,1,1
a Corolla Altis D-4D G,575000.0,2013,1364,Comprehensive,Manual,65000,Second Owner,Diesel,87.2,5.0,21.43,Sedan,Ahmedabad,5,1,2,2,2
ai Elantra CRDi SX AT,625000.0,2014,1582,Comprehensive,Automatic,60000,First Owner,Diesel,126.24,5.0,19.5,Sedan,Ahmedabad,5,2,2,2,1
i Swift Dzire VDI,451000.0,2013,1248,Comprehensive,Manual,61000,First Owner,Diesel,74.0,5.0,26.59,Sedan,Ahmedabad,5,1,2,2,1
ai Grand i10 CRDi Magna,445000.0,2015,1120,Comprehensive,Manual,57000,First Owner,Diesel,70.0,5.0,24.0,Hatchback,Ahmedabad,5,1,2,1,1
Endeavour Titanium Plus 4X4 AT,3200000.0,2020,1996,Comprehensive,Automatic,87976,First Owner,Diesel,167.62,7.0,12.4,SUV,Ahmedabad,5,2,2,3,1
eltos X-Line Diesel AT,1950000.0,2022,1493,Third Party,Automatic,38390,First Owner,Diesel,113.43,5.0,18.0,SUV,Ahmedabad,2,2,2,3,1
eltos HTX Plus Diesel,1400000.0,2020,1493,Comprehensive,Manual,54853,Second Owner,Diesel,113.43,5.0,20.8,SUV,Ahmedabad,5,1,2,3,2
 Slavia 1.0 TSI Ambition AT BSVI,1325000.0,2022,999,Third Party,Automatic,25207,First Owner,Petrol,113.98,5.0,18.07,Sedan,Ahmedabad,2,2,1,2,1
a Innova Crysta 2.4 G 8 STR,2045000.0,2021,2393,Comprehensive,Manual,42915,First Owner,Diesel,148.0,8.0,12.0,MUV,Ahmedabad,5,1,2,4,1
des-Benz C-Class 220 CDI AT,1850000.0,2015,2143,Third Party,Automatic,107000,Second Owner,Diesel,170.0,5.0,14.84,Sedan,Ahmedabad,2,2,2,2,2
New Safari XZA Plus AT BSVI,1900000.0,2021,1956,Comprehensive,Automatic,60000,First Owner,Diesel,167.67,7.0,14.08,SUV,Ahmedabad,5,2,2,3,1
olet Spark 1.0 LT,190000.0,2013,995,Comprehensive,Manual,45000,First Owner,Petrol,62.1,5.0,16.2,Hatchback,Ahmedabad,5,1,1,1,1
i Wagon R VXI 1.2,325000.0,2014,1197,Comprehensive,Manual,63000,First Owner,Petrol,81.8,5.0,20.52,Hatchback,Ahmedabad,5,1,1,1,1
wagen Polo GT TSI,825000.0,2019,1197,Comprehensive,Automatic,65691,First Owner,Petrol,103.5,5.0,17.21,Hatchback,Ahmedabad,5,2,1,1,1
 City i VTEC CVT SV,650000.0,2015,1497,Third Party,Automatic,60000,First Owner,Petrol,117.3,5.0,18.0,Sedan,Ahmedabad,2,2,1,2,1
ai i10 Era 1.1 iTech SE,325000.0,2013,1086,Third Party,Manual,71000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Ahmedabad,2,1,1,1,1
n Sunny XL,325000.0,2012,1498,Comprehensive,Manual,68000,First Owner,Petrol,97.6,5.0,16.95,Sedan,Ahmedabad,5,1,1,2,1
ai i20 Sportz 1.4 CRDi,441000.0,2013,1396,Comprehensive,Manual,65000,First Owner,Diesel,88.76,5.0,21.9,Hatchback,Ahmedabad,5,1,2,1,1
 City 1.5 S MT,325000.0,2009,1497,Comprehensive,Manual,68000,First Owner,Petrol,116.348,5.0,17.0,Sedan,Ahmedabad,5,1,1,2,1
i Vitara Brezza ZXI Plus,880000.0000000001,2021,1462,Third Party,Manual,39988,First Owner,Petrol,103.26,5.0,17.03,SUV,Ahmedabad,2,1,1,3,1
ai Grand i10 Magna,515000.00000000006,2017,1197,Third Party,Manual,48834,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Ahmedabad,2,1,1,1,1
des-Benz CLA Urban Sport 200d,2450000.0,2018,2143,Third Party,Automatic,41895,First Owner,Diesel,134.1,5.0,17.9,Sedan,Ahmedabad,2,2,2,2,1
5 xDrive 30d xLine,6700000.0,2020,2993,Comprehensive,Automatic,60640,First Owner,Diesel,261.5,5.0,13.38,SUV,Ahmedabad,5,2,2,3,1
ai Grand i10 1.2 CRDi Magna,570000.0,2018,1186,Comprehensive,Manual,40750,First Owner,Diesel,73.97,5.0,24.0,Hatchback,Ahmedabad,5,1,2,1,1
ai Creta 1.6 CRDi SX,875000.0,2016,1582,Third Party,Manual,102344,First Owner,Diesel,126.2,5.0,19.67,SUV,Ahmedabad,2,1,2,3,1
Compass 2.0 Limited Plus AT,2000000.0,2020,1956,Third Party,Automatic,56207,First Owner,Diesel,173.0,5.0,17.1,SUV,Ahmedabad,2,2,2,3,1
ai Verna 1.6 CRDi AT S,790000.0,2017,1582,Comprehensive,Automatic,44283,First Owner,Diesel,126.2,5.0,19.08,Sedan,Ahmedabad,5,2,2,2,1
des-Benz E-Class E250 CDI Avantgarde,2650000.0,2016,2143,Third Party,Automatic,49000,First Owner,Diesel,204.0,5.0,13.0,Sedan,Ahmedabad,2,2,2,2,1
Nexon XZ Plus HS,1042000.0,2022,1199,Third Party,Manual,30000,First Owner,Petrol,118.36,5.0,17.57,SUV,Ahmedabad,2,1,1,3,1
tor Savvy CVT BSVI,1511000.0,2023,1498,Third Party,Automatic,10000,First Owner,Petrol,108.49,5.0,14.82,SUV,Ahmedabad,2,2,1,3,1
i Eeco CNG HTR 5-STR,420000.0,2018,1196,Third Party,Manual,60000,First Owner,CNG,63.0,5.0,29.253333333333334,Minivans,Ahmedabad,2,1,3,5,1
a Etios Liva 1.2 G,400000.0,2019,1197,Third Party,Manual,80000,Second Owner,Petrol,78.9,5.0,17.71,Hatchback,Ahmedabad,2,1,1,1,2
 Jazz VX CVT,830000.0000000001,2021,1199,Third Party,Automatic,20000,First Owner,Petrol,88.5,5.0,17.1,Hatchback,Ahmedabad,2,2,1,1,1
Indica Terra TDI BSIII,150000.0,2009,1405,Third Party,Manual,80000,First Owner,Diesel,70.006,5.0,17.0,Hatchback,Ahmedabad,2,1,2,1,1
n GO Plus A Petrol,325000.0,2018,1198,Third Party,Manual,90000,First Owner,Petrol,67.05,7.0,19.02,MUV,Ahmedabad,2,1,1,4,1
ai EON Era Plus,250000.0,2011,814,Third Party,Manual,70000,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Ahmedabad,2,1,1,1,1
wagen Vento Diesel Comfortline,300000.0,2012,1598,Third Party,Manual,90000,Third Owner,Diesel,103.6,5.0,20.54,Sedan,Ahmedabad,2,1,2,2,3
 Slavia 1.5 TSI Style AT BSVI,2000000.0,2022,1498,Third Party,Automatic,10000,First Owner,Petrol,147.52,5.0,18.41,Sedan,Chennai,2,2,1,2,1
 City i VTEC V,641000.0,2016,1497,Third Party,Manual,99821,First Owner,Petrol,117.3,5.0,17.8,Sedan,Chennai,2,1,1,2,1
i Wagon R VXI BS IV,311000.0,2013,998,Third Party,Manual,60867,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Chennai,2,1,1,1,2
ai i10 Magna,318000.0,2013,1197,Third Party,Manual,72700,Second Owner,Petrol,78.9,5.0,20.36,Hatchback,Chennai,2,1,1,1,2
i Ertiga VXI AT,1025000.0,2020,1462,Third Party,Automatic,30000,Second Owner,Petrol,103.26,7.0,17.99,MUV,Chennai,2,2,1,4,2
Tiago XZ Plus BSVI,661000.0,2021,1199,Third Party,Manual,11808,First Owner,Petrol,84.82,5.0,19.01,Hatchback,Chennai,2,1,1,1,1
n Micra Active XV S,390000.0,2018,1198,Third Party,Manual,81615,First Owner,Petrol,67.04,5.0,19.49,Hatchback,Chennai,2,1,1,1,1
 Amaze S i-Vtech,390000.0,2013,1198,Third Party,Manual,85189,Second Owner,Petrol,86.7,5.0,18.0,Sedan,Chennai,2,1,1,2,2
 Series 320d Luxury Line,4100000.0,2020,1995,Comprehensive,Automatic,50000,First Owner,Diesel,187.74,5.0,20.37,Sedan,Chennai,5,2,2,2,1
i Ritz VDi,321000.0,2012,1248,Third Party,Manual,97294,Second Owner,Diesel,73.94,5.0,23.2,Hatchback,Chennai,2,1,2,1,2
eltos GTX DCT,1150000.0,2019,1353,Third Party,Automatic,60000,First Owner,Petrol,138.0,5.0,16.2,SUV,Chennai,2,2,1,3,1
wagen Polo 1.2 MPI Highline,600000.0,2016,1199,Third Party,Manual,80000,First Owner,Petrol,74.0,5.0,16.2,Hatchback,Chennai,2,1,1,1,1
3 xDrive 20d Luxury Line,5000000.0,2018,1995,Comprehensive,Automatic,23000,First Owner,Diesel,187.7,5.0,16.55,SUV,Chennai,5,2,2,3,1
i XL6 Zeta,1000000.0,2022,1462,Third Party,Manual,10000,First Owner,Petrol,103.2,6.0,19.01,MUV,Chennai,2,1,1,4,1
Punto 1.2 Active,180000.0,2014,1172,Third Party,Manual,90000,Fourth Owner,Petrol,67.0,5.0,15.7,Hatchback,Chennai,2,1,1,1,4
ai Grand i10 Nios Sportz,560000.0,2021,1197,Third Party,Manual,30000,First Owner,Petrol,81.86,5.0,20.7,Hatchback,Chennai,2,1,1,1,1
lt Triber RXE,600000.0,2020,999,Third Party,Manual,16890,First Owner,Petrol,71.01,7.0,20.0,MUV,Chennai,2,1,1,4,1
ctor Plus Sharp Diesel MT,1875000.0,2021,1956,Third Party,Manual,40000,First Owner,Diesel,167.67,6.0,16.65,SUV,Chennai,2,1,2,3,1
Tigor 1.05 Revotorq XZ,620000.0,2019,1047,Third Party,Manual,50000,First Owner,Diesel,69.0,5.0,24.7,Sedan,Chennai,2,1,2,2,1
ai Grand i10 Magna AT,495000.0,2017,1197,Comprehensive,Automatic,21500,Second Owner,Petrol,82.0,5.0,18.9,Hatchback,Chennai,5,2,1,1,2
ai Santro Magna BSIV,467000.0,2019,1086,Comprehensive,Manual,20709,Second Owner,Petrol,68.0,5.0,20.3,Hatchback,Chennai,5,1,1,1,2
i Alto 800 VXI,341000.0,2018,796,Third Party,Manual,61493,First Owner,Petrol,47.3,5.0,24.7,Hatchback,Chennai,2,1,1,1,1
i Alto 800 VXI,317000.0,2018,796,Third Party,Manual,20749,Second Owner,Petrol,47.3,5.0,24.7,Hatchback,Chennai,2,1,1,1,2
i Swift ZXI,505999.99999999994,2015,1197,Comprehensive,Manual,37477,Second Owner,Petrol,88.5,5.0,22.38,Hatchback,Chennai,5,1,1,1,2
i Swift VDI,449000.0,2013,1248,Third Party,Manual,71005,First Owner,Diesel,74.0,5.0,22.9,Hatchback,Chennai,2,1,2,1,1
Compass 2.0 Sport,1225000.0,2017,1956,Comprehensive,Manual,65000,First Owner,Diesel,167.67,5.0,17.1,SUV,Chennai,5,1,2,3,1
ai i20 Sportz Plus BSIV,603000.0,2019,1197,Third Party,Manual,83218,First Owner,Petrol,81.86,5.0,18.6,Hatchback,Chennai,2,1,1,1,1
a Urban cruiser Premium AT,1085000.0,2021,1462,Zero Dep,Automatic,25448,First Owner,Petrol,103.26,5.0,18.76,SUV,Chennai,6,2,1,3,1
dra TUV 300 T6 Plus,550000.0,2016,1493,Third Party,Manual,150000,Second Owner,Diesel,100.0,7.0,18.49,SUV,Chennai,2,1,2,3,2
ai EON Era Plus,300000.0,2018,814,Third Party,Manual,10000,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Chennai,2,1,1,1,1
bishi Lancer 1.5 GLXi,90000.0,2003,1468,Third Party,Manual,150000,First Owner,Petrol,85.8,5.0,13.7,Sedan,Chennai,2,1,1,2,1
i Vitara Brezza ZDi,950000.0,2019,1248,Third Party,Manual,60000,First Owner,Diesel,88.5,5.0,24.3,SUV,Chennai,2,1,2,3,1
a Innova 2.5 VX (Diesel) 8 Seater BS IV,1050000.0,2012,2494,Third Party,Manual,120000,First Owner,Diesel,100.0,8.0,12.99,MUV,Chennai,2,1,2,4,1
lt KWID 1.0 AMT RXT,409999.99999999994,2019,999,Third Party,Automatic,20000,Second Owner,Petrol,67.0,5.0,24.04,Hatchback,Chennai,2,2,1,1,2
wagen Vento 1.5 TDI Comfortline AT,650000.0,2015,1498,Third Party,Automatic,100000,Third Owner,Diesel,103.2,5.0,21.21,Sedan,Chennai,2,2,2,2,3
ai i20 1.2 Asta,295000.0,2010,1197,Third Party,Manual,90000,Second Owner,Petrol,78.88,5.0,17.0,Hatchback,Chennai,2,1,1,1,2
Ecosport 1.5 Petrol Titanium Plus AT BSIV,877999.9999999999,2020,1497,Third Party,Automatic,30015,Third Owner,Petrol,121.36,5.0,14.8,SUV,Chennai,2,2,1,3,3
 WR-V i-VTEC VX,799000.0,2018,1199,Zero Dep,Manual,53399,First Owner,Petrol,88.7,5.0,17.5,SUV,Chennai,6,1,1,3,1
i Swift Dzire AMT VDI,691000.0,2018,1248,Third Party,Automatic,93745,First Owner,Diesel,74.02,5.0,28.4,Sedan,Chennai,2,2,2,2,1
i Wagon R AMT VXI,426999.99999999994,2016,998,Comprehensive,Automatic,50291,Second Owner,Petrol,67.0,5.0,20.51,Hatchback,Chennai,5,2,1,1,2
i Swift Dzire VDI,672000.0,2017,1248,Zero Dep,Manual,90250,First Owner,Diesel,74.02,5.0,28.4,Sedan,Chennai,6,1,2,2,1
ai Xcent 1.2 VTVT S,567000.0,2018,1197,Zero Dep,Manual,22642,First Owner,Petrol,81.86,5.0,20.14,Sedan,Chennai,6,1,1,2,1
Ecosport 1.5 Petrol Titanium BSIV,817000.0,2018,1497,Third Party,Manual,70038,First Owner,Petrol,121.31,5.0,17.0,SUV,Chennai,2,1,1,3,1
ai Grand i10 Sportz,408000.0,2016,1197,Comprehensive,Manual,108551,Second Owner,Petrol,82.0,5.0,18.9,Hatchback,Chennai,5,1,1,1,2
ai Verna CRDi 1.6 AT SX Plus,933000.0,2017,1582,Comprehensive,Automatic,78356,First Owner,Diesel,126.2,5.0,22.0,Sedan,Chennai,5,2,2,2,1
ai i20 1.2 Asta Option,666000.0,2018,1197,Comprehensive,Manual,45224,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Chennai,5,1,1,1,1
dra TUV 300 T8,701000.0,2016,1493,Third Party,Manual,73498,Second Owner,Diesel,100.0,7.0,18.49,SUV,Chennai,2,1,2,3,2
ai i20 Magna 1.4 CRDi (Diesel),300000.0,2012,1396,Third Party,Manual,100000,Third Owner,Diesel,88.76,5.0,21.9,Hatchback,Chennai,2,1,2,1,3
n Kicks 1.3 Turbo XV Pre Option DT,1100000.0,2020,1330,Third Party,Manual,50000,Second Owner,Petrol,153.87,5.0,14.23,SUV,Chennai,2,1,1,3,2
des-Benz C-Class C 250 CDI Avantgarde,1200000.0,2011,2143,Third Party,Automatic,80000,Second Owner,Diesel,201.15,5.0,19.71,Sedan,Chennai,2,2,2,2,2
tor Savvy CVT BSVI,1600000.0,2022,1498,Third Party,Automatic,20000,First Owner,Petrol,108.49,5.0,14.82,SUV,Chennai,2,2,1,3,1
ai Grand i10 Sportz,480000.0,2016,1197,Third Party,Manual,50000,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Chennai,2,1,1,1,1
 Series 320d Luxury Line,2600000.0,2016,1995,Third Party,Automatic,70000,First Owner,Diesel,190.0,5.0,22.69,Sedan,Chennai,2,2,2,2,1
i Baleno 1.2 Alpha,700000.0,2018,1197,Third Party,Manual,20000,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Chennai,2,1,1,1,1
i Eeco 7 Seater Standard BSIV,415000.00000000006,2015,1196,Comprehensive,Manual,20687,First Owner,Petrol,73.0,7.0,15.37,Minivans,Chennai,5,1,1,5,1
lt KWID 1.0 RXT AMT Opt,521000.0,2021,999,Zero Dep,Automatic,12409,First Owner,Petrol,67.0,5.0,22.0,Hatchback,Chennai,6,2,1,1,1
ai i10 Sportz 1.2,279000.0,2011,1197,Comprehensive,Manual,61350,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Chennai,5,1,1,1,1
 WR-V i-VTEC VX,706000.0,2019,1199,Third Party,Manual,46566,Second Owner,Petrol,88.7,5.0,17.5,SUV,Chennai,2,1,1,3,2
i Wagon R VXI BS IV,315000.0,2013,998,Third Party,Manual,94581,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Chennai,2,1,1,1,2
ai i20 Asta Option 1.2,589000.0,2016,1197,Comprehensive,Manual,48648,Second Owner,Petrol,81.83,5.0,18.6,Hatchback,Chennai,5,1,1,1,2
 Amaze VX Petrol BSIV,782000.0,2020,1199,Zero Dep,Manual,34329,First Owner,Petrol,88.76,5.0,19.5,Sedan,Chennai,6,1,1,2,1
Ecosport 1.5 Diesel Titanium BSIV,827999.9999999999,2018,1498,Comprehensive,Manual,42917,First Owner,Diesel,98.96,5.0,23.0,SUV,Chennai,5,1,2,3,1
New Safari DICOR 2.2 LX 4x2,146000.0,2010,2179,Third Party,Manual,120000,Third Owner,Diesel,138.1,7.0,11.57,unknown_type,Chennai,2,1,2,6,3
ai i20 Sportz Plus Diesel,750000.0,2019,1396,Third Party,Manual,40000,First Owner,Diesel,88.76,5.0,22.54,Hatchback,Chennai,2,1,2,1,1
i Swift Dzire VXI BSVI,725000.0,2022,1197,Third Party,Manual,20000,First Owner,Petrol,88.5,5.0,22.41,Sedan,Chennai,2,1,1,2,1
 City i VTEC S,725000.0,2017,1497,Third Party,Manual,60000,First Owner,Petrol,117.3,5.0,17.8,Sedan,Chennai,2,1,1,2,1
